edge,min_value,max_value,jaccard_min_over_max,subject_id
Fp1-F4,5.102201934585351,5.545573387121279,0.9200494842308663,sub-NORB00065
Fp1-C3,3.9236555728628515,4.058760314449037,0.9667128060986461,sub-NORB00065
Fp1-C4,2.7420399303051677,4.743191221190436,0.5781002288195702,sub-NORB00065
Fp1-P3,2.2582714822198233,2.576508737547119,0.8764850859266781,sub-NORB00065
Fp1-P4,1.7429003196410324,2.360258650293053,0.7384361537768885,sub-NORB00065
Fp1-O1,0.9135830453969958,1.1323355181602108,0.8068130255963017,sub-NORB00065
Fp1-O2,0.7889613738570228,1.0718492030725573,0.7360749736020611,sub-NORB00065
Fp1-F7,5.179322218707809,8.468985961534239,0.6115634436321021,sub-NORB00065
Fp1-F8,5.747997047003782,7.1302433472742965,0.8061431801203657,sub-NORB00065
Fp1-T3,0.6681644361845042,4.053565885401319,0.16483374270314918,sub-NORB00065
Fp1-T4,1.027362224096268,3.4400612220449114,0.2986464942869716,sub-NORB00065
Fp1-T5,0.5661110221010578,0.6145218862468368,0.9212219040050045,sub-NORB00065
Fp1-T6,0.8714768318394446,1.070399283333488,0.8141605150607446,sub-NORB00065
Fp1-FZ,5.2794147026582845,5.859416152726878,0.9010137810746435,sub-NORB00065
Fp1-CZ,3.3988135795391456,3.9146296798690257,0.8682337430325879,sub-NORB00065
Fp1-PZ,2.3583318811698053,3.3770604451621744,0.6983386644880005,sub-NORB00065
Fp2-F3,6.183292128364943,9.859099373241518,0.6271660213859852,sub-NORB00065
Fp2-F4,5.822298395541591,7.451687243240184,0.7813396088011212,sub-NORB00065
Fp2-C3,3.562192692743204,3.9336556697762646,0.9055679987734696,sub-NORB00065
Fp2-C4,3.200795289471967,5.867364996304019,0.5455251704109456,sub-NORB00065
Fp2-P3,1.7928094743949212,2.3133864632356653,0.7749718877006705,sub-NORB00065
Fp2-P4,2.030582796143674,2.2371974132288437,0.9076457822347593,sub-NORB00065
Fp2-O1,0.6124835625049441,1.1277097803240714,0.5431216197565777,sub-NORB00065
Fp2-O2,0.8301671098026906,0.98728204702734,0.840861142266574,sub-NORB00065
Fp2-F7,4.2253129950951145,6.021272864819256,0.7017308615562879,sub-NORB00065
Fp2-F8,7.644341129459072,8.877033704734611,0.8611368824004716,sub-NORB00065
Fp2-T3,0.6179965381908471,2.9678584081182433,0.20822979172469516,sub-NORB00065
Fp2-T4,1.7512893526939468,4.048095962403281,0.43262051318917805,sub-NORB00065
Fp2-T5,0.49889735980025307,0.6928425711273114,0.7200731891929019,sub-NORB00065
Fp2-T6,0.8701634096477685,1.1954853841820527,0.7278745697448501,sub-NORB00065
Fp2-FZ,4.828490281421079,7.435526676668852,0.6493810716289788,sub-NORB00065
Fp2-CZ,3.2577674669572354,5.382980125690475,0.6051977512250915,sub-NORB00065
Fp2-PZ,2.6401047992885434,3.884037976043821,0.6797319736759332,sub-NORB00065
F3-F4,10.337378723784463,10.717014831663501,0.9645763196335793,sub-NORB00065
F3-C3,5.744006778433318,7.6888792957369105,0.7470538367819191,sub-NORB00065
F3-C4,5.303970266472808,8.035023362010554,0.6601063901755263,sub-NORB00065
F3-P3,2.6037816010286683,2.809107475035729,0.9269070778417087,sub-NORB00065
F3-P4,2.0581294126656506,2.2854656172927603,0.9005295888474577,sub-NORB00065
F3-O1,0.6079052817954655,1.1545196015958368,0.5265439243778862,sub-NORB00065
F3-O2,0.7240886875253558,0.8661719520138875,0.8359641360376748,sub-NORB00065
F3-F7,4.215406722378682,5.85576672722269,0.7198727201310479,sub-NORB00065
F3-F8,4.700713090415076,7.297055342210025,0.6441931532605579,sub-NORB00065
F3-T3,0.6004852670218306,3.106320409007629,0.19331079475271085,sub-NORB00065
F3-T4,1.2900580078358648,3.6598249763900377,0.35249172191516837,sub-NORB00065
F3-T5,0.44488264092496443,0.6099978427247472,0.7293183840417471,sub-NORB00065
F3-T6,0.6082306991245564,1.3604547187412097,0.4470789734827302,sub-NORB00065
F3-FZ,11.049007374731508,11.107495269277496,0.9947343759211168,sub-NORB00065
F3-CZ,3.7434663282052143,5.797821689820392,0.6456677228928683,sub-NORB00065
F3-PZ,3.710440239612813,3.9316229944788206,0.9437426337223547,sub-NORB00065
F4-C3,4.977043737158523,7.212830886343357,0.6900264009491706,sub-NORB00065
F4-C4,6.497045908432395,10.854929322162505,0.5985341512235717,sub-NORB00065
F4-P3,2.479062890886193,2.580640234681472,0.9606387041362174,sub-NORB00065
F4-P4,2.4127840455491985,2.59174432094424,0.930949872659568,sub-NORB00065
F4-O1,0.6975915806590668,1.164142704941632,0.5992320165714072,sub-NORB00065
F4-O2,0.7998731218024775,0.9233838989678222,0.8662411405446774,sub-NORB00065
F4-F7,3.256149755615347,4.6387213659708975,0.7019498475381751,sub-NORB00065
