subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,O1-FZ,1.3517051473953947,0.8946125022624619,0.6618399759639103
sub-NORB00064,ses-1,ses-2,O1-CZ,1.1843062633166923,1.380516085796744,0.8578721215212699
sub-NORB00064,ses-1,ses-2,O1-PZ,2.3524045150528123,2.3240852426946885,0.9879615635079292
sub-NORB00064,ses-1,ses-2,O2-F7,0.6723454016140271,1.6345868078600243,0.4113243777454997
sub-NORB00064,ses-1,ses-2,O2-F8,0.8217089821322306,1.4805755200336068,0.5549929544381357
sub-NORB00064,ses-1,ses-2,O2-T3,0.6433048557971811,1.3528411255749109,0.47552136288272484
sub-NORB00064,ses-1,ses-2,O2-T4,1.0398283572374964,2.034945140130597,0.5109859409628916
sub-NORB00064,ses-1,ses-2,O2-T5,0.8295613409237154,2.771077567504441,0.2993641717762511
sub-NORB00064,ses-1,ses-2,O2-T6,2.7586185816077013,5.2679773920933215,0.5236580145063069
sub-NORB00064,ses-1,ses-2,O2-FZ,0.5195908843586776,1.294996449990832,0.40122958202885894
sub-NORB00064,ses-1,ses-2,O2-CZ,0.842510483216683,1.3794648673828385,0.6107516785223525
sub-NORB00064,ses-1,ses-2,O2-PZ,1.3520687449129563,3.368298652181724,0.4014099949353334
sub-NORB00064,ses-1,ses-2,F7-F8,3.7013481800468804,5.462567788018336,0.6775839355559968
sub-NORB00064,ses-1,ses-2,F7-T3,3.018423897975694,3.9168072999565333,0.7706337500977367
sub-NORB00064,ses-1,ses-2,F7-T4,1.131613158806296,4.192358738404601,0.2699227879618266
sub-NORB00064,ses-1,ses-2,F7-T5,1.0635531190120644,1.5941756268312486,0.667149278355293
sub-NORB00064,ses-1,ses-2,F7-T6,1.7551786781101133,1.5566667953790048,0.8868993309872839
sub-NORB00064,ses-1,ses-2,F7-FZ,3.4917586543604853,5.547962905626288,0.6293767124541209
sub-NORB00064,ses-1,ses-2,F7-CZ,2.177167068901675,2.8539393298009053,0.7628638234063501
sub-NORB00064,ses-1,ses-2,F7-PZ,1.4349916298915693,3.4170424271507214,0.41995136451616366
sub-NORB00064,ses-1,ses-2,F8-T3,1.146601201988812,2.0703853312868064,0.5538105321081295
sub-NORB00064,ses-1,ses-2,F8-T4,2.171807677991519,6.1771688104927645,0.35158625976068636
sub-NORB00064,ses-1,ses-2,F8-T5,0.951595434252104,1.1216954320726644,0.8483545595739387
sub-NORB00064,ses-1,ses-2,F8-T6,1.2396451527656784,2.110570384941151,0.5873507757004955
sub-NORB00064,ses-1,ses-2,F8-FZ,5.512824716913243,7.008755305574864,0.786562588727882
sub-NORB00064,ses-1,ses-2,F8-CZ,3.450532633369107,3.4636827365791767,0.9962034331056957
sub-NORB00064,ses-1,ses-2,F8-PZ,2.381242662367475,4.054050473756657,0.5873737087838754
sub-NORB00064,ses-1,ses-2,T3-T4,1.6570045291494553,3.0038602174055447,0.5516250455158069
sub-NORB00064,ses-1,ses-2,T3-T5,1.9345934804044116,2.808826282622239,0.6887551189525082
sub-NORB00064,ses-1,ses-2,T3-T6,1.5946409507690098,1.4469172223989353,0.9073623888193544
sub-NORB00064,ses-1,ses-2,T3-FZ,0.9615838937214849,2.3588527051622856,0.40764897766489805
sub-NORB00064,ses-1,ses-2,T3-CZ,1.059206643948944,1.5458788503583694,0.6851808883363636
sub-NORB00064,ses-1,ses-2,T3-PZ,1.1173108031603147,2.5174804992885322,0.4438210359429116
sub-NORB00064,ses-1,ses-2,T4-T5,1.0156624318481968,1.4001508433765169,0.7253950077256593
sub-NORB00064,ses-1,ses-2,T4-T6,2.479646264573089,4.183211102437383,0.5927614466141339
sub-NORB00064,ses-1,ses-2,T4-FZ,1.0442730812117438,4.442297711727812,0.23507498798534565
sub-NORB00064,ses-1,ses-2,T4-CZ,1.3261863340177567,2.8624495831304735,0.46330469603149954
sub-NORB00064,ses-1,ses-2,T4-PZ,1.8495766725934466,4.672662212633178,0.3958293128043505
sub-NORB00064,ses-1,ses-2,T5-T6,2.7036461582362135,2.442395153906863,0.9033708595581222
sub-NORB00064,ses-1,ses-2,T5-FZ,0.8154554376239656,0.9944867858194435,0.8199761417161933
sub-NORB00064,ses-1,ses-2,T5-CZ,0.616018692424848,1.7993586291921138,0.34235459370399746
sub-NORB00064,ses-1,ses-2,T5-PZ,1.6156029387843627,2.405167959676268,0.6717214622307793
sub-NORB00064,ses-1,ses-2,T6-FZ,0.9530947434980358,1.7236086980560035,0.5529646865747413
