subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-2,ses-3,C3,0.2659064875313492,0.3024117672138962,0.8792861798372854
sub-NORB00064,ses-2,ses-3,C4,0.27743757361560345,0.27218494645507824,0.9810673547491341
sub-NORB00064,ses-2,ses-3,P3,0.2818324365891095,0.3139196292075941,0.8977853258189681
sub-NORB00064,ses-2,ses-3,P4,0.27756867101401295,0.2654549541635999,0.9563577661478895
sub-NORB00064,ses-2,ses-3,O1,0.2983963980080474,0.28655284940029735,0.9603093445939296
sub-NORB00064,ses-2,ses-3,O2,0.2824251949533368,0.275907388644478,0.9769220082863511
sub-NORB00064,ses-2,ses-3,F7,0.29509076479067003,0.30938863835636504,0.9537866883488262
sub-NORB00064,ses-2,ses-3,F8,0.30213041563383586,0.2910948777643405,0.9634742571470535
sub-NORB00064,ses-2,ses-3,T3,0.31352355426219136,0.34191977202973156,0.9169506413771503
sub-NORB00064,ses-2,ses-3,T4,0.30739118683940925,0.2867252231315828,0.9327698236233981
sub-NORB00064,ses-2,ses-3,T5,0.3047697223802411,0.31173377964169346,0.9776602417952367
sub-NORB00064,ses-2,ses-3,T6,0.28949019860263514,0.2713830177693075,0.9374514891325139
sub-NORB00064,ses-2,ses-3,FZ,0.28812948972991415,0.29687983986356964,0.9705256169038736
sub-NORB00064,ses-2,ses-3,CZ,0.24854779044855402,0.2707948942993896,0.917845187190866
sub-NORB00064,ses-2,ses-3,PZ,0.3027835300276619,0.31439053509249704,0.9630809335229502
sub-NORB00065,ses-1,ses-2,Fp1,0.30064621639794276,0.277704264501652,0.9236912003378608
sub-NORB00065,ses-1,ses-2,Fp2,0.30284519927248643,0.28719452490059,0.9483212069747401
sub-NORB00065,ses-1,ses-2,F3,0.2971049185819817,0.27298628048355283,0.9188211416574927
sub-NORB00065,ses-1,ses-2,F4,0.3053170889720761,0.266576814571333,0.8731146214868888
sub-NORB00065,ses-1,ses-2,C3,0.2991707245622034,0.277247510665456,0.9267200561524558
sub-NORB00065,ses-1,ses-2,C4,0.3116286969751694,0.28588305271807457,0.9173835898073719
sub-NORB00065,ses-1,ses-2,P3,0.32787510212918036,0.2816510317406479,0.859019272618265
sub-NORB00065,ses-1,ses-2,P4,0.37044362469809905,0.2867663829916428,0.7741161242155246
sub-NORB00065,ses-1,ses-2,O1,0.29628535421680696,0.29872972891230204,0.991817437439537
sub-NORB00065,ses-1,ses-2,O2,0.29880323465561887,0.31289251017021824,0.9549708763979854
sub-NORB00065,ses-1,ses-2,F7,0.28256575346613616,0.2759176522325344,0.9764723744754917
sub-NORB00065,ses-1,ses-2,F8,0.2812751499134512,0.26142103200885247,0.9294138927284978
sub-NORB00065,ses-1,ses-2,T3,0.28473400053763964,0.2782469536335123,0.9772171679817712
